Time,InputVolt1(V),OutputVolt1(V),OutputFreq(Hz),Load(%),BatteryVolt(V),Temp.(Degree),EMD temp.(Degree),EMD humidity(%)
2024/05/29 00:00:47,234.4,229.5,50.0,17,82.4,33.8,---,---
2024/05/29 00:05:46,235.0,229.8,50.1,16,82.4,33.6,---,---
2024/05/29 00:10:48,235.3,229.7,50.0,10,82.4,33.4,---,---
2024/05/29 00:15:48,234.0,229.9,50.0,17,82.4,33.4,---,---
2024/05/29 00:20:50,234.5,229.8,50.0,16,82.4,33.3,---,---
2024/05/29 00:25:50,233.8,229.9,50.0,16,82.4,33.1,---,---
2024/05/29 00:30:49,234.0,229.9,50.0,17,82.4,33.1,---,---
2024/05/29 00:35:51,235.8,229.6,50.0,17,82.4,33.1,---,---
2024/05/29 00:40:51,234.9,230.2,50.0,16,82.4,33.0,---,---
2024/05/29 00:45:52,234.4,229.7,50.1,16,82.4,32.9,---,---
2024/05/29 00:50:54,233.2,229.5,50.1,17,82.4,32.9,---,---
2024/05/29 00:55:54,232.8,229.6,50.1,17,82.4,32.8,---,---
2024/05/29 01:00:53,233.5,229.5,50.1,17,82.4,32.8,---,---
2024/05/29 01:05:55,234.0,229.8,50.0,17,82.4,32.5,---,---
2024/05/29 01:10:55,234.2,229.6,50.0,17,82.4,32.5,---,---
2024/05/29 01:15:54,232.9,229.7,50.0,17,82.4,32.3,---,---
2024/05/29 01:20:56,233.2,229.5,50.0,17,82.4,32.3,---,---
2024/05/29 01:25:56,233.5,229.6,50.0,17,82.4,32.2,---,---
2024/05/29 01:30:55,233.6,230.0,50.0,16,82.4,32.1,---,---
2024/05/29 01:35:57,234.4,230.0,50.0,17,82.4,32.1,---,---
2024/05/29 01:40:57,234.1,229.7,50.0,17,82.4,32.0,---,---
2024/05/29 01:45:56,233.9,230.0,50.0,17,82.4,31.8,---,---
2024/05/29 01:50:58,234.3,229.4,50.0,16,82.4,31.8,---,---
2024/05/29 01:55:58,234.5,229.9,50.0,17,82.4,31.7,---,---
2024/05/29 02:00:58,234.0,229.9,50.0,16,82.4,31.6,---,---
2024/05/29 02:05:59,233.5,229.2,50.0,17,82.4,31.5,---,---
2024/05/29 02:11:01,234.0,229.9,50.1,17,82.4,31.2,---,---
2024/05/29 02:16:00,234.3,229.9,50.0,17,82.4,31.3,---,---
2024/05/29 02:21:01,234.7,229.9,50.0,16,82.4,31.2,---,---
2024/05/29 02:26:00,233.4,229.9,50.0,16,82.4,31.3,---,---
2024/05/29 02:31:02,232.1,229.6,50.0,17,82.4,31.3,---,---
2024/05/29 02:36:02,231.2,230.1,50.0,17,82.4,31.2,---,---
2024/05/29 02:41:01,232.3,229.7,50.0,17,82.4,31.2,---,---
2024/05/29 02:46:03,232.8,229.5,50.1,16,82.4,31.2,---,---
2024/05/29 02:51:02,233.6,229.6,50.0,17,82.4,31.2,---,---
2024/05/29 02:56:02,233.9,229.8,50.0,15,82.4,31.2,---,---
2024/05/29 03:01:04,233.0,229.6,50.0,16,82.4,31.2,---,---
2024/05/29 03:06:04,232.8,229.9,50.0,17,82.4,31.2,---,---
2024/05/29 03:11:04,233.2,229.8,50.1,16,82.4,31.2,---,---
2024/05/29 03:16:05,232.9,229.8,50.0,17,82.4,31.3,---,---
2024/05/29 03:21:05,233.6,229.9,50.0,16,82.4,31.2,---,---
2024/05/29 03:26:04,234.1,229.8,50.0,17,82.4,31.2,---,---
2024/05/29 03:31:06,233.7,229.5,50.0,16,82.4,31.2,---,---
2024/05/29 03:36:06,234.0,229.7,50.0,16,82.4,31.5,---,---
2024/05/29 03:41:05,233.0,229.5,50.0,16,82.4,31.7,---,---
2024/05/29 03:46:05,234.4,229.6,50.0,17,82.4,32.0,---,---
2024/05/29 03:51:07,233.9,230.1,50.0,17,82.4,32.2,---,---
2024/05/29 03:56:07,233.8,230.1,50.0,17,82.4,32.3,---,---
2024/05/29 04:01:06,233.3,229.9,50.0,17,82.4,32.3,---,---
2024/05/29 04:06:08,232.2,230.2,50.0,16,82.4,32.5,---,---
2024/05/29 04:11:08,231.6,229.8,50.0,16,82.4,32.5,---,---
2024/05/29 04:16:09,232.0,229.8,50.0,17,82.4,32.8,---,---
2024/05/29 04:21:09,231.8,229.8,50.0,17,82.4,32.8,---,---
2024/05/29 04:26:11,231.7,229.8,50.0,17,82.4,32.7,---,---
2024/05/29 04:31:11,231.9,229.7,50.0,17,82.4,32.9,---,---
2024/05/29 04:36:11,230.9,229.6,49.9,17,82.4,33.1,---,---
2024/05/29 04:41:10,233.9,229.6,50.0,17,82.4,33.1,---,---
2024/05/29 04:46:12,233.7,229.5,50.0,16,82.4,33.3,---,---
2024/05/29 04:51:12,233.6,230.0,50.0,17,82.4,33.4,---,---
2024/05/29 04:56:11,234.0,229.7,50.0,16,82.4,33.3,---,---
2024/05/29 05:01:13,233.6,229.6,50.0,17,82.4,33.3,---,---
2024/05/29 05:06:13,233.3,229.4,50.0,17,82.4,33.3,---,---
2024/05/29 05:11:12,233.2,230.0,50.0,16,82.4,33.4,---,---
2024/05/29 05:16:14,233.4,229.8,49.9,17,82.4,33.4,---,---
2024/05/29 05:21:16,231.5,229.8,49.9,17,82.4,33.4,---,---
2024/05/29 05:26:11,232.6,229.7,49.9,16,82.4,33.4,---,---
2024/05/29 05:31:11,232.8,229.5,50.0,16,82.4,33.3,---,---
2024/05/29 05:36:13,232.3,229.6,50.0,17,82.4,33.4,---,---
2024/05/29 05:41:12,232.1,229.7,50.0,17,82.4,33.3,---,---
2024/05/29 05:46:12,232.5,229.5,50.0,17,82.4,33.1,---,---
2024/05/29 05:51:14,232.3,229.7,50.0,17,82.4,32.9,---,---
2024/05/29 05:56:13,233.7,229.8,50.0,16,82.4,33.0,---,---
2024/05/29 06:01:13,234.0,229.6,50.1,17,82.4,33.1,---,---
2024/05/29 06:06:15,233.9,230.1,50.0,17,82.4,33.1,---,---
2024/05/29 06:11:17,233.1,229.2,50.0,17,82.4,33.3,---,---
2024/05/29 06:16:16,232.4,229.6,50.0,17,82.4,33.6,---,---
2024/05/29 06:21:16,232.3,229.6,50.0,18,82.4,33.8,---,---
2024/05/29 06:26:18,232.9,229.4,50.0,17,82.4,34.1,---,---
2024/05/29 06:31:17,231.6,229.4,50.1,17,82.4,34.2,---,---
2024/05/29 06:36:17,231.0,229.8,50.0,17,82.4,34.4,---,---
2024/05/29 06:41:17,231.6,229.4,50.1,17,82.4,34.7,---,---
2024/05/29 06:46:19,231.6,229.8,50.1,17,82.4,35.3,---,---
2024/05/29 06:51:18,233.2,230.0,50.1,17,82.4,36.0,---,---
2024/05/29 06:56:18,232.8,229.7,50.1,17,82.4,36.5,---,---
2024/05/29 07:01:19,233.5,229.9,50.1,17,82.4,37.2,---,---
2024/05/29 07:06:19,233.8,229.8,50.0,17,82.4,37.7,---,---
2024/05/29 07:11:19,232.9,229.7,50.0,17,82.4,38.1,---,---
2024/05/29 07:16:21,232.6,229.5,50.1,17,82.5,38.2,---,---
2024/05/29 07:21:23,232.5,229.4,50.0,17,82.5,38.2,---,---
2024/05/29 07:26:23,233.1,230.0,50.0,17,82.5,38.4,---,---
2024/05/29 07:31:22,232.5,229.7,50.0,17,82.5,38.5,---,---
2024/05/29 07:36:24,232.3,230.1,50.0,17,82.5,38.5,---,---
2024/05/29 07:41:23,232.5,229.6,50.0,16,82.5,38.8,---,---
2024/05/29 07:46:23,231.7,230.0,50.1,17,82.5,39.2,---,---
2024/05/29 07:51:23,232.1,229.8,50.0,17,82.5,39.6,---,---
2024/05/29 07:56:25,231.9,229.8,50.0,17,82.5,40.0,---,---
2024/05/29 08:01:24,232.6,230.0,50.1,17,82.5,40.8,---,---
2024/05/29 08:06:24,231.9,229.8,50.1,17,82.5,41.5,---,---
2024/05/29 08:11:26,230.6,229.9,50.0,18,82.6,42.2,---,---
2024/05/29 08:16:26,230.8,229.5,50.1,17,82.6,42.9,---,---
2024/05/29 08:21:25,230.2,229.8,50.1,18,82.6,43.5,---,---
2024/05/29 08:26:25,228.4,229.8,50.1,19,82.6,43.9,---,---
2024/05/29 08:31:26,228.9,229.8,50.1,17,82.6,44.1,---,---
2024/05/29 08:36:26,232.7,230.1,50.1,17,82.6,44.2,---,---
2024/05/29 08:41:26,232.1,229.5,50.2,17,82.6,44.4,---,---
2024/05/29 08:46:28,231.6,229.6,50.1,17,82.6,44.6,---,---
2024/05/29 08:51:28,232.7,230.0,50.1,17,82.6,44.8,---,---
2024/05/29 08:56:27,232.9,230.2,50.1,17,82.6,44.7,---,---
2024/05/29 09:01:29,233.3,230.0,50.2,18,82.6,44.9,---,---
2024/05/29 09:06:28,232.7,230.3,49.9,17,82.6,44.8,---,---
2024/05/29 09:11:28,231.0,229.5,50.0,18,82.6,44.7,---,---
2024/05/29 09:16:28,233.6,229.8,50.0,17,82.6,44.7,---,---
2024/05/29 09:21:29,233.0,229.7,50.0,16,82.6,44.8,---,---
2024/05/29 09:26:30,232.7,229.7,49.9,16,82.6,44.6,---,---
2024/05/29 09:31:29,232.1,230.1,50.0,17,82.6,44.2,---,---
2024/05/29 09:36:31,231.2,229.8,49.9,17,82.6,44.2,---,---
2024/05/29 09:41:31,231.3,230.1,49.9,18,82.6,44.4,---,---
2024/05/29 09:46:30,230.1,230.1,49.9,18,82.6,44.3,---,---
2024/05/29 09:51:32,229.4,229.6,50.0,17,82.6,44.6,---,---
2024/05/29 09:56:34,229.0,229.6,50.0,15,82.6,44.4,---,---
2024/05/29 10:01:33,232.1,229.8,50.1,17,82.6,44.4,---,---
2024/05/29 10:06:33,230.6,229.5,49.9,18,82.6,44.6,---,---
2024/05/29 10:11:35,229.2,229.9,50.0,17,82.6,44.6,---,---
2024/05/29 10:16:35,232.6,229.7,49.9,18,82.6,44.7,---,---
2024/05/29 10:21:34,232.0,229.5,49.9,17,82.6,44.8,---,---
