Time,EventName,EventSource,ClientIP
2024/06/01 07:08:13,Battery Mode,MCU Polling,----
2024/06/01 07:08:16,AC failure,MCU Polling,----
2024/06/01 07:10:43,AC recovery,MCU Polling,----
2024/06/01 07:10:50,Line Mode,MCU Polling,----
2024/06/01 08:02:11,Battery Mode,MCU Polling,----
2024/06/01 08:02:14,AC failure,MCU Polling,----
2024/06/01 11:06:52,AC recovery,MCU Polling,----
2024/06/01 11:06:59,Line Mode,MCU Polling,----
2024/06/01 11:53:37,Over temperature alarm,MCU Polling,----
2024/06/01 11:53:48,Fault Mode,MCU Polling,----
2024/06/01 11:53:49,Over temperature fault,MCU Polling,----
2024/06/01 11:57:49,Bypass Mode,MCU Polling,----
2024/06/01 12:02:49,Bypass Mode,MCU Polling,----
2024/06/01 12:07:50,Bypass Mode,MCU Polling,----
2024/06/01 12:12:51,Bypass Mode,MCU Polling,----
2024/06/01 12:17:52,Bypass Mode,MCU Polling,----
2024/06/01 12:22:52,Bypass Mode,MCU Polling,----
2024/06/01 12:27:53,Bypass Mode,MCU Polling,----
2024/06/01 12:32:55,Bypass Mode,MCU Polling,----
2024/06/01 12:35:40,AC failure,MCU Polling,----
2024/06/01 12:45:11,AC recovery,MCU Polling,----
2024/06/01 12:47:56,Bypass Mode,MCU Polling,----
2024/06/01 12:52:57,Bypass Mode,MCU Polling,----
2024/06/01 12:57:38,AC failure,MCU Polling,----
2024/06/01 13:07:58,AC recovery,MCU Polling,----
2024/06/01 13:07:58,Bypass Mode,MCU Polling,----
2024/06/01 13:12:58,Bypass Mode,MCU Polling,----
2024/06/01 13:17:59,Bypass Mode,MCU Polling,----
2024/06/01 13:23:00,Bypass Mode,MCU Polling,----
2024/06/01 13:28:01,Bypass Mode,MCU Polling,----
2024/06/01 13:33:02,Bypass Mode,MCU Polling,----
2024/06/01 13:38:03,Bypass Mode,MCU Polling,----
2024/06/01 13:43:04,Bypass Mode,MCU Polling,----
2024/06/01 13:48:06,Bypass Mode,MCU Polling,----
2024/06/01 13:53:06,Bypass Mode,MCU Polling,----
2024/06/01 13:58:07,Bypass Mode,MCU Polling,----
2024/06/01 14:03:07,Bypass Mode,MCU Polling,----
2024/06/01 14:08:08,Bypass Mode,MCU Polling,----
2024/06/01 14:13:08,Bypass Mode,MCU Polling,----
2024/06/01 14:18:10,Bypass Mode,MCU Polling,----
2024/06/01 14:23:12,Bypass Mode,MCU Polling,----
2024/06/01 14:28:13,Bypass Mode,MCU Polling,----
2024/06/01 14:33:14,Bypass Mode,MCU Polling,----
2024/06/01 14:38:15,Bypass Mode,MCU Polling,----
2024/06/01 14:43:16,Bypass Mode,MCU Polling,----
2024/06/01 14:48:17,Bypass Mode,MCU Polling,----
2024/06/01 14:53:19,Bypass Mode,MCU Polling,----
2024/06/01 14:58:20,Bypass Mode,MCU Polling,----
2024/06/01 15:03:21,Bypass Mode,MCU Polling,----
2024/06/01 15:08:23,Bypass Mode,MCU Polling,----
2024/06/01 15:13:24,Bypass Mode,MCU Polling,----
2024/06/01 15:18:25,Bypass Mode,MCU Polling,----
2024/06/01 15:23:26,Bypass Mode,MCU Polling,----
2024/06/01 15:28:27,Bypass Mode,MCU Polling,----
2024/06/01 15:33:26,Bypass Mode,MCU Polling,----
2024/06/01 15:38:28,Bypass Mode,MCU Polling,----
2024/06/01 15:43:28,Bypass Mode,MCU Polling,----
2024/06/01 15:48:29,Bypass Mode,MCU Polling,----
2024/06/01 15:53:31,Bypass Mode,MCU Polling,----
2024/06/01 15:58:32,Bypass Mode,MCU Polling,----
2024/06/01 16:03:35,Bypass Mode,MCU Polling,----
2024/06/01 16:08:37,Bypass Mode,MCU Polling,----
2024/06/01 16:13:38,Bypass Mode,MCU Polling,----
2024/06/01 16:18:39,Bypass Mode,MCU Polling,----
2024/06/01 16:23:41,Bypass Mode,MCU Polling,----
2024/06/01 16:28:43,Bypass Mode,MCU Polling,----
2024/06/01 16:33:44,Bypass Mode,MCU Polling,----
2024/06/01 16:38:46,Bypass Mode,MCU Polling,----
2024/06/01 16:43:46,Bypass Mode,MCU Polling,----
2024/06/01 16:48:47,Bypass Mode,MCU Polling,----
2024/06/01 16:53:47,Bypass Mode,MCU Polling,----
2024/06/01 16:58:48,Bypass Mode,MCU Polling,----
2024/06/01 17:03:50,Bypass Mode,MCU Polling,----
2024/06/01 17:08:50,Bypass Mode,MCU Polling,----
2024/06/01 17:13:52,Bypass Mode,MCU Polling,----
2024/06/01 17:18:53,Bypass Mode,MCU Polling,----
2024/06/01 17:23:55,Bypass Mode,MCU Polling,----
2024/06/01 17:28:51,Bypass Mode,MCU Polling,----
2024/06/01 17:33:52,Bypass Mode,MCU Polling,----
2024/06/01 17:38:58,Bypass Mode,MCU Polling,----
2024/06/01 17:44:04,Bypass Mode,MCU Polling,----
2024/06/01 17:49:04,Bypass Mode,MCU Polling,----
2024/06/01 17:54:04,Bypass Mode,MCU Polling,----
2024/06/01 17:59:05,Bypass Mode,MCU Polling,----
